census_block,provider_id,travel_time_type,travel_time_minutes
CB022,PR013,DRIVING,109.433333334
CB022,PR014,DRIVING,172.300000002
CB022,PR015,DRIVING,194.316666666
CB022,PR016,DRIVING,220.416666666
CB023,PR001,DRIVING,51.250000002
CB023,PR002,DRIVING,30.683333334
CB023,PR003,DRIVING,48.250000002
CB023,PR004,DRIVING,76.783333332
CB023,PR005,DRIVING,96.816666666
CB023,PR006,DRIVING,96.283333332
CB023,PR007,DRIVING,93.349999998
CB023,PR008,DRIVING,96.283333332
CB023,PR009,DRIVING,89.80000000199999
CB023,PR010,DRIVING,106.150000002
CB023,PR011,DRIVING,96.23333333400001
CB023,PR012,DRIVING,147.916666668
CB023,PR013,DRIVING,123.36666666599999
CB023,PR014,DRIVING,142.91666666400002
CB023,PR015,DRIVING,164.933333334
CB023,PR016,DRIVING,191.033333334
CB024,PR001,DRIVING,144.61666666800002
CB024,PR002,DRIVING,123.700000002
CB024,PR003,DRIVING,140.25
CB024,PR004,DRIVING,147.48333333600002
CB024,PR005,DRIVING,169.366666668
CB024,PR006,DRIVING,168.833333334
CB024,PR007,DRIVING,165.9
CB024,PR008,DRIVING,168.833333334
CB024,PR009,DRIVING,160.516666668
CB024,PR010,DRIVING,176.85
CB024,PR011,DRIVING,157.483333332
CB024,PR012,DRIVING,220.466666664
CB024,PR013,DRIVING,187.86666666600001
CB024,PR014,DRIVING,215.466666666
CB024,PR015,DRIVING,237.48333333600002
CB024,PR016,DRIVING,263.583333336
CB025,PR001,DRIVING,137.133333336
CB025,PR002,DRIVING,122.216666664
CB025,PR003,DRIVING,127.21666666800002
CB025,PR004,DRIVING,115.600000002
CB025,PR005,DRIVING,136.766666664
CB025,PR006,DRIVING,126.08333333399999
CB025,PR007,DRIVING,123.75
CB025,PR008,DRIVING,126.100000002
CB025,PR009,DRIVING,99.66666666600001
CB025,PR010,DRIVING,134.383333332
CB025,PR011,DRIVING,79.933333332
CB025,PR012,DRIVING,185.38333333199998
CB025,PR013,DRIVING,110.316666666
CB025,PR014,DRIVING,173.166666666
CB025,PR015,DRIVING,195.199999998
CB025,PR016,DRIVING,221.299999998
CB026,PR001,DRIVING,147.083333334
CB026,PR002,DRIVING,126.15
CB026,PR003,DRIVING,142.716666666
CB026,PR004,DRIVING,149.950000002
CB026,PR005,DRIVING,171.833333334
CB026,PR006,DRIVING,171.3
CB026,PR007,DRIVING,168.366666666
CB026,PR008,DRIVING,171.3
CB026,PR009,DRIVING,162.966666666
CB026,PR010,DRIVING,179.316666666
CB026,PR011,DRIVING,161.983333332
CB026,PR012,DRIVING,222.916666668
CB026,PR013,DRIVING,192.366666666
CB026,PR014,DRIVING,217.91666666400002
CB026,PR015,DRIVING,239.950000002
CB026,PR016,DRIVING,266.05000000200005
CB027,PR001,DRIVING,114.93333333599999
CB027,PR002,DRIVING,145.450000002
CB027,PR003,DRIVING,106.766666664
CB027,PR004,DRIVING,80.749999998
CB027,PR005,DRIVING,71.633333334
CB027,PR006,DRIVING,66.649999998
CB027,PR007,DRIVING,67.35000000000001
CB027,PR008,DRIVING,68.39999999999999
CB027,PR009,DRIVING,83.500000002
CB027,PR010,DRIVING,51.700000002
CB027,PR011,DRIVING,116.716666668
CB027,PR012,DRIVING,30.683333334
CB027,PR013,DRIVING,102.766666668
CB027,PR014,DRIVING,10.266666665999999
CB027,PR015,DRIVING,31.200000000000003
CB027,PR016,DRIVING,57.316666668
CB028,PR001,DRIVING,221.766666666
CB028,PR002,DRIVING,252.283333332
CB028,PR003,DRIVING,213.6
CB028,PR004,DRIVING,182.85
CB028,PR005,DRIVING,181.033333332
CB028,PR006,DRIVING,170.533333332
CB028,PR007,DRIVING,168.19999999799998
CB028,PR008,DRIVING,170.54999999999998
CB028,PR009,DRIVING,184.783333332
CB028,PR010,DRIVING,161.116666668
CB028,PR011,DRIVING,217.999999998
CB028,PR012,DRIVING,141.75
CB028,PR013,DRIVING,204.066666666
CB028,PR014,DRIVING,120.93333333600002
CB028,PR015,DRIVING,96.616666668
CB028,PR016,DRIVING,68.31666666599999
CB029,PR001,DRIVING,83.916666666
CB029,PR002,DRIVING,112.733333334
CB029,PR003,DRIVING,83.350000002
CB029,PR004,DRIVING,66.88333333199999
CB029,PR005,DRIVING,51.199999998
CB029,PR006,DRIVING,56.149999998
CB029,PR007,DRIVING,57.483333336
CB029,PR008,DRIVING,58.233333335999994
CB029,PR009,DRIVING,78.083333334
CB029,PR010,DRIVING,60.366666666
CB029,PR011,DRIVING,111.3
CB029,PR012,DRIVING,43.249999998
CB029,PR013,DRIVING,97.016666664
CB029,PR014,DRIVING,63.566666663999996
CB029,PR015,DRIVING,85.583333334
CB029,PR016,DRIVING,111.700000002
CB030,PR001,DRIVING,138.550000002
CB030,PR002,DRIVING,160.783333332
CB030,PR003,DRIVING,131.149999998
CB030,PR004,DRIVING,105.13333333199999
CB030,PR005,DRIVING,93.88333333199999
CB030,PR006,DRIVING,94.399999998
CB030,PR007,DRIVING,95.733333336
CB030,PR008,DRIVING,96.483333336
CB030,PR009,DRIVING,116.333333334
CB030,PR010,DRIVING,98.616666666
CB030,PR011,DRIVING,149.55
CB030,PR012,DRIVING,63.850000002
CB030,PR013,DRIVING,135.26666666399998
CB030,PR014,DRIVING,92.08333333200001
CB030,PR015,DRIVING,108.516666666
CB030,PR016,DRIVING,134.63333333399999
CB031,PR001,DRIVING,126.03333333600001
CB031,PR002,DRIVING,156.55000000200002
CB031,PR003,DRIVING,117.866666664
CB031,PR004,DRIVING,87.11666666400001
CB031,PR005,DRIVING,85.833333336
CB031,PR006,DRIVING,74.816666664
CB031,PR007,DRIVING,72.466666668
CB031,PR008,DRIVING,74.816666664
CB031,PR009,DRIVING,89.066666664
CB031,PR010,DRIVING,69.66666666600001
CB031,PR011,DRIVING,122.28333333600001
CB031,PR012,DRIVING,101.466666666
CB031,PR013,DRIVING,108.333333336
CB031,PR014,DRIVING,82.733333334
CB031,PR015,DRIVING,59.783333334
CB031,PR016,DRIVING,61.033333332
CB032,PR001,DRIVING,97.30000000199999
CB032,PR002,DRIVING,119.533333332
CB032,PR003,DRIVING,104.7
CB032,PR004,DRIVING,108.166666668
CB032,PR005,DRIVING,90.14999999999999
CB032,PR006,DRIVING,99.966666666
CB032,PR007,DRIVING,101.29999999799999
CB032,PR008,DRIVING,102.049999998
CB032,PR009,DRIVING,121.900000002
CB032,PR010,DRIVING,104.18333333400001
CB032,PR011,DRIVING,155.116666668
CB032,PR012,DRIVING,71.216666664
CB032,PR013,DRIVING,140.833333332
CB032,PR014,DRIVING,99.45
CB032,PR015,DRIVING,121.46666666399999
CB032,PR016,DRIVING,147.583333332
CB033,PR001,DRIVING,62.216666664
CB033,PR002,DRIVING,92.733333336
CB033,PR003,DRIVING,54.049999998000004
CB033,PR004,DRIVING,26.716666668
CB033,PR005,DRIVING,26.7
CB033,PR006,DRIVING,10.999999998
CB033,PR007,DRIVING,8.650000002
CB033,PR008,DRIVING,12.066666666
CB033,PR009,DRIVING,29.200000002
CB033,PR010,DRIVING,22.249999998
CB033,PR011,DRIVING,62.416666668000005
CB033,PR012,DRIVING,69.483333336
CB033,PR013,DRIVING,48.133333332
CB033,PR014,DRIVING,60.933333336
CB033,PR015,DRIVING,82.95
CB033,PR016,DRIVING,109.05
CB034,PR001,DRIVING,136.666666668
CB034,PR002,DRIVING,167.183333334
CB034,PR003,DRIVING,128.500000002
CB034,PR004,DRIVING,102.49999999799999
CB034,PR005,DRIVING,93.366666666
CB034,PR006,DRIVING,88.383333336
CB034,PR007,DRIVING,89.08333333200001
CB034,PR008,DRIVING,90.13333333199999
CB034,PR009,DRIVING,105.233333334
CB034,PR010,DRIVING,73.433333334
CB034,PR011,DRIVING,138.45000000000002
CB034,PR012,DRIVING,55.866666666
CB034,PR013,DRIVING,124.51666666799998
CB034,PR014,DRIVING,33.266666664
CB034,PR015,DRIVING,7.233333336
CB034,PR016,DRIVING,31.633333332000003
CB035,PR001,DRIVING,115.35000000000001
